instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
MSTR,long,165.0,1672239660000,1672240020000,360000,14.85,14.84,-1.65,1.1149661160000002,-2.764966116,f-0088,f-0089,,,,
MSTR,long,175.0,1672326060000,1672326420000,360000,14.05,14.04,-1.75,1.1206514200000002,-2.87065142,f-0090,f-0091,,,,
MSTR,long,180.0,1672336860000,1672337220000,360000,13.69,13.68,-1.8,1.124024544,-2.924024544,f-0092,f-0093,,,,
MSTR,long,180.0,1672417860000,1672418280000,420000,13.79,13.87,14.4,1.135578996,13.264421004,f-0094,f-0095,,,,
MSTR,long,180.0,1672432260000,1672432740000,480000,13.86,13.96,18.0,1.141948368,16.858051632,f-0096,f-0097,,,,
MSTR,long,176.0,1672758060000,1672758420000,360000,14.39,14.38,-1.76,1.1535080128000001,-2.9135080128000004,f-0098,f-0099,,,,
MSTR,long,156.0,1672853520000,1672853940000,420000,16.3,16.31,1.56,1.1548365816000001,0.4051634183999999,f-0100,f-0101,,,,
MSTR,long,156.0,1672858860000,1672859220000,360000,16.27,16.32,7.8,1.1541533952000003,6.6458466048,f-0102,f-0103,,,,
MSTR,long,165.0,1672947060000,1672947660000,600000,15.59,15.63,6.6,1.1707736370000001,5.429226363,f-0104,f-0105,,,,
MSTR,long,175.0,1673017260000,1673017620000,360000,14.88,14.99,19.25,1.1895238950000002,18.060476105,f-0106,f-0107,,,,
MSTR,long,172.0,1673024460000,1673024880000,420000,15.18,15.18,0.0,1.1877409776,-1.1877409776,f-0108,f-0109,,,,
LULU,long,8.0,1673276460000,1673276580000,120000,295.235,295.655,3.36,1.0463987944000002,2.3136012056,f-0110,f-0111,,,,
MSTR,long,139.0,1673449260000,1673449620000,360000,19.15,19.31,22.24,1.2087410254000002,21.0312589746,f-0112,f-0113,,,,
MSTR,long,145.0,1673452860000,1673453220000,360000,18.56,18.61,7.25,1.219556807,6.030443193,f-0114,f-0115,,,,
MSTR,long,129.0,1673622060000,1673622480000,420000,21.3,21.34,5.16,1.2409490916,3.9190509083999996,f-0116,f-0117,,,,
MSTR,long,121.0,1673967660000,1673968020000,360000,22.87,23.25,45.98,1.2571046950000002,44.722895305,f-0118,f-0119,,,,
MSTR,long,118.0,1673983860000,1673984220000,360000,23.73,23.83,11.8,1.2634601964,10.5365398036,f-0120,f-0121,,,,
MSTR,long,119.0,1673985660000,1673986020000,360000,23.66,23.75,10.71,1.2702208750000004,9.439779125,f-0122,f-0123,,,,
MSTR,long,131.0,1674153060000,1674153600000,540000,21.98,22.3,41.92,1.307712478,40.612287522,f-0124,f-0125,,,,
MSTR,long,127.0,1674237660000,1674238140000,480000,23.11,23.05,-7.62,1.3205057410000003,-8.940505741,f-0126,f-0127,,,,
MSTR,long,126.0,1674244920000,1674245280000,360000,23.23,23.59,45.36,1.3285434204000002,44.0314565796,f-0128,f-0129,,,,
MSTR,long,101.0,1674487860000,1674488220000,360000,23.92,23.95,3.03,1.0883494370000002,1.9416505629999998,f-0130,f-0131,,,,
